Date,Start (ET),away_team,home_team
"Wed, Jan 29, 2020",10:00p,Houston Rockets,Portland Trail Blazers
"Wed, Jan 29, 2020",10:00p,Oklahoma City Thunder,Sacramento Kings
"Thu, Jan 30, 2020",7:00p,Toronto Raptors,Cleveland Cavaliers
"Thu, Jan 30, 2020",7:00p,Charlotte Hornets,Washington Wizards
"Thu, Jan 30, 2020",7:30p,Philadelphia 76ers,Atlanta Hawks
"Thu, Jan 30, 2020",8:00p,Golden State Warriors,Boston Celtics
"Thu, Jan 30, 2020",10:30p,Utah Jazz,Denver Nuggets
"Thu, Jan 30, 2020",10:30p,Sacramento Kings,Los Angeles Clippers
"Fri, Jan 31, 2020",7:00p,Toronto Raptors,Detroit Pistons
"Fri, Jan 31, 2020",7:30p,Chicago Bulls,Brooklyn Nets
"Fri, Jan 31, 2020",8:00p,Dallas Mavericks,Houston Rockets
"Fri, Jan 31, 2020",8:00p,Memphis Grizzlies,New Orleans Pelicans
"Fri, Jan 31, 2020",9:00p,Denver Nuggets,Milwaukee Bucks
"Fri, Jan 31, 2020",9:00p,Oklahoma City Thunder,Phoenix Suns
"Fri, Jan 31, 2020",10:30p,Portland Trail Blazers,Los Angeles Lakers
"Sat, Feb 1, 2020",3:30p,Minnesota Timberwolves,Los Angeles Clippers
"Sat, Feb 1, 2020",7:00p,New York Knicks,Indiana Pacers
"Sat, Feb 1, 2020",7:00p,Miami Heat,Orlando Magic
"Sat, Feb 1, 2020",8:00p,Golden State Warriors,Cleveland Cavaliers
"Sat, Feb 1, 2020",8:00p,Brooklyn Nets,Washington Wizards
"Sat, Feb 1, 2020",8:30p,Philadelphia 76ers,Boston Celtics
"Sat, Feb 1, 2020",8:30p,Atlanta Hawks,Dallas Mavericks
"Sat, Feb 1, 2020",9:00p,Charlotte Hornets,San Antonio Spurs
"Sat, Feb 1, 2020",10:00p,Utah Jazz,Portland Trail Blazers
"Sat, Feb 1, 2020",10:00p,Los Angeles Lakers,Sacramento Kings
"Sun, Feb 2, 2020",12:30p,Denver Nuggets,Detroit Pistons
"Sun, Feb 2, 2020",2:00p,New Orleans Pelicans,Houston Rockets
"Sun, Feb 2, 2020",2:00p,Phoenix Suns,Milwaukee Bucks
"Sun, Feb 2, 2020",3:00p,Chicago Bulls,Toronto Raptors
"Mon, Feb 3, 2020",7:00p,Orlando Magic,Charlotte Hornets
"Mon, Feb 3, 2020",7:00p,New York Knicks,Cleveland Cavaliers
"Mon, Feb 3, 2020",7:00p,Dallas Mavericks,Indiana Pacers
"Mon, Feb 3, 2020",7:00p,Golden State Warriors,Washington Wizards
"Mon, Feb 3, 2020",7:30p,Boston Celtics,Atlanta Hawks
"Mon, Feb 3, 2020",7:30p,Phoenix Suns,Brooklyn Nets
"Mon, Feb 3, 2020",7:30p,Philadelphia 76ers,Miami Heat
"Mon, Feb 3, 2020",8:00p,Detroit Pistons,Memphis Grizzlies
"Mon, Feb 3, 2020",10:00p,Minnesota Timberwolves,Sacramento Kings
"Mon, Feb 3, 2020",10:30p,San Antonio Spurs,Los Angeles Clippers
"Tue, Feb 4, 2020",7:30p,Milwaukee Bucks,New Orleans Pelicans
"Tue, Feb 4, 2020",8:00p,Charlotte Hornets,Houston Rockets
"Tue, Feb 4, 2020",10:00p,Portland Trail Blazers,Denver Nuggets
"Tue, Feb 4, 2020",10:30p,San Antonio Spurs,Los Angeles Lakers
"Wed, Feb 5, 2020",7:00p,Phoenix Suns,Detroit Pistons
"Wed, Feb 5, 2020",7:30p,Orlando Magic,Boston Celtics
"Wed, Feb 5, 2020",7:30p,Golden State Warriors,Brooklyn Nets
"Wed, Feb 5, 2020",7:30p,Indiana Pacers,Toronto Raptors
"Wed, Feb 5, 2020",8:00p,Atlanta Hawks,Minnesota Timberwolves
"Wed, Feb 5, 2020",8:00p,Cleveland Cavaliers,Oklahoma City Thunder
"Wed, Feb 5, 2020",8:30p,Memphis Grizzlies,Dallas Mavericks
"Wed, Feb 5, 2020",10:00p,Denver Nuggets,Utah Jazz
"Wed, Feb 5, 2020",10:30p,Miami Heat,Los Angeles Clippers
"Thu, Feb 6, 2020",7:30p,Orlando Magic,New York Knicks
"Thu, Feb 6, 2020",8:00p,New Orleans Pelicans,Chicago Bulls
"Thu, Feb 6, 2020",8:00p,Philadelphia 76ers,Milwaukee Bucks
"Thu, Feb 6, 2020",10:00p,San Antonio Spurs,Portland Trail Blazers
"Thu, Feb 6, 2020",10:30p,Houston Rockets,Los Angeles Lakers
"Fri, Feb 7, 2020",7:00p,Memphis Grizzlies,Philadelphia 76ers
"Fri, Feb 7, 2020",7:00p,Dallas Mavericks,Washington Wizards
"Fri, Feb 7, 2020",7:30p,Atlanta Hawks,Boston Celtics
"Fri, Feb 7, 2020",8:00p,Toronto Raptors,Indiana Pacers
"Fri, Feb 7, 2020",8:00p,Detroit Pistons,Oklahoma City Thunder
"Fri, Feb 7, 2020",9:00p,Houston Rockets,Phoenix Suns
"Fri, Feb 7, 2020",10:00p,Miami Heat,Sacramento Kings
"Fri, Feb 7, 2020",10:30p,Portland Trail Blazers,Utah Jazz
"Sat, Feb 8, 2020",5:00p,Milwaukee Bucks,Orlando Magic
"Sat, Feb 8, 2020",7:00p,Dallas Mavericks,Charlotte Hornets
"Sat, Feb 8, 2020",7:00p,New York Knicks,Detroit Pistons
"Sat, Feb 8, 2020",7:30p,New Orleans Pelicans,Indiana Pacers
"Sat, Feb 8, 2020",7:30p,Brooklyn Nets,Toronto Raptors
"Sat, Feb 8, 2020",8:00p,Los Angeles Clippers,Minnesota Timberwolves
"Sat, Feb 8, 2020",8:30p,Los Angeles Lakers,Golden State Warriors
"Sat, Feb 8, 2020",9:00p,Denver Nuggets,Phoenix Suns
"Sat, Feb 8, 2020",10:00p,San Antonio Spurs,Sacramento Kings
"Sun, Feb 9, 2020",3:30p,Boston Celtics,Oklahoma City Thunder
"Sun, Feb 9, 2020",6:00p,New York Knicks,Atlanta Hawks
"Sun, Feb 9, 2020",6:00p,Chicago Bulls,Philadelphia 76ers
"Sun, Feb 9, 2020",6:00p,Memphis Grizzlies,Washington Wizards
"Sun, Feb 9, 2020",7:00p,Utah Jazz,Houston Rockets
"Sun, Feb 9, 2020",7:30p,Los Angeles Clippers,Cleveland Cavaliers
"Sun, Feb 9, 2020",9:00p,Miami Heat,Portland Trail Blazers
"Mon, Feb 10, 2020",7:00p,Charlotte Hornets,Detroit Pistons
"Mon, Feb 10, 2020",7:00p,Brooklyn Nets,Indiana Pacers
"Mon, Feb 10, 2020",7:00p,Atlanta Hawks,Orlando Magic
"Mon, Feb 10, 2020",7:30p,Minnesota Timberwolves,Toronto Raptors
"Mon, Feb 10, 2020",8:00p,Sacramento Kings,Milwaukee Bucks
"Mon, Feb 10, 2020",8:30p,Utah Jazz,Dallas Mavericks
"Mon, Feb 10, 2020",9:00p,San Antonio Spurs,Denver Nuggets
"Mon, Feb 10, 2020",10:30p,Miami Heat,Golden State Warriors
"Mon, Feb 10, 2020",10:30p,Phoenix Suns,Los Angeles Lakers
"Tue, Feb 11, 2020",7:00p,Los Angeles Clippers,Philadelphia 76ers
"Tue, Feb 11, 2020",7:00p,Chicago Bulls,Washington Wizards
"Tue, Feb 11, 2020",8:00p,Portland Trail Blazers,New Orleans Pelicans
"Tue, Feb 11, 2020",8:00p,San Antonio Spurs,Oklahoma City Thunder
"Tue, Feb 11, 2020",9:30p,Boston Celtics,Houston Rockets
"Wed, Feb 12, 2020",7:00p,Atlanta Hawks,Cleveland Cavaliers
"Wed, Feb 12, 2020",7:00p,Detroit Pistons,Orlando Magic
"Wed, Feb 12, 2020",7:30p,Toronto Raptors,Brooklyn Nets
"Wed, Feb 12, 2020",7:30p,Milwaukee Bucks,Indiana Pacers
"Wed, Feb 12, 2020",7:30p,Washington Wizards,New York Knicks
"Wed, Feb 12, 2020",8:00p,Portland Trail Blazers,Memphis Grizzlies
"Wed, Feb 12, 2020",8:00p,Charlotte Hornets,Minnesota Timberwolves
"Wed, Feb 12, 2020",8:30p,Sacramento Kings,Dallas Mavericks
"Wed, Feb 12, 2020",9:00p,Golden State Warriors,Phoenix Suns
"Wed, Feb 12, 2020",9:00p,Miami Heat,Utah Jazz
"Wed, Feb 12, 2020",10:00p,Los Angeles Lakers,Denver Nuggets
"Thu, Feb 13, 2020",8:00p,Los Angeles Clippers,Boston Celtics
"Thu, Feb 13, 2020",8:00p,Oklahoma City Thunder,New Orleans Pelicans
"Thu, Feb 20, 2020",7:00p,Milwaukee Bucks,Detroit Pistons
"Thu, Feb 20, 2020",7:30p,Miami Heat,Atlanta Hawks
"Thu, Feb 20, 2020",8:00p,Charlotte Hornets,Chicago Bulls
"Thu, Feb 20, 2020",8:00p,Brooklyn Nets,Philadelphia 76ers
"Thu, Feb 20, 2020",10:00p,Memphis Grizzlies,Sacramento Kings
"Thu, Feb 20, 2020",10:30p,Houston Rockets,Golden State Warriors
"Fri, Feb 21, 2020",7:00p,Dallas Mavericks,Orlando Magic
"Fri, Feb 21, 2020",7:00p,Cleveland Cavaliers,Washington Wizards
"Fri, Feb 21, 2020",7:30p,Indiana Pacers,New York Knicks
"Fri, Feb 21, 2020",7:30p,Phoenix Suns,Toronto Raptors
"Fri, Feb 21, 2020",8:00p,Boston Celtics,Minnesota Timberwolves
"Fri, Feb 21, 2020",8:00p,Denver Nuggets,Oklahoma City Thunder
"Fri, Feb 21, 2020",9:00p,San Antonio Spurs,Utah Jazz
"Fri, Feb 21, 2020",10:30p,Memphis Grizzlies,Los Angeles Lakers
"Fri, Feb 21, 2020",10:30p,New Orleans Pelicans,Portland Trail Blazers
"Sat, Feb 22, 2020",3:30p,Sacramento Kings,Los Angeles Clippers
"Sat, Feb 22, 2020",7:00p,Brooklyn Nets,Charlotte Hornets
"Sat, Feb 22, 2020",7:30p,Dallas Mavericks,Atlanta Hawks
"Sat, Feb 22, 2020",8:00p,Phoenix Suns,Chicago Bulls
"Sat, Feb 22, 2020",8:00p,Cleveland Cavaliers,Miami Heat
"Sat, Feb 22, 2020",8:30p,Philadelphia 76ers,Milwaukee Bucks
"Sat, Feb 22, 2020",9:00p,Houston Rockets,Utah Jazz
"Sun, Feb 23, 2020",3:30p,Boston Celtics,Los Angeles Lakers
"Sun, Feb 23, 2020",6:00p,Minnesota Timberwolves,Denver Nuggets
"Sun, Feb 23, 2020",6:00p,Indiana Pacers,Toronto Raptors
"Sun, Feb 23, 2020",7:00p,Washington Wizards,Chicago Bulls
"Sun, Feb 23, 2020",7:00p,San Antonio Spurs,Oklahoma City Thunder
"Sun, Feb 23, 2020",8:30p,New Orleans Pelicans,Golden State Warriors
"Sun, Feb 23, 2020",9:00p,Detroit Pistons,Portland Trail Blazers
"Mon, Feb 24, 2020",7:00p,Miami Heat,Cleveland Cavaliers
"Mon, Feb 24, 2020",7:00p,Atlanta Hawks,Philadelphia 76ers
"Mon, Feb 24, 2020",7:00p,Milwaukee Bucks,Washington Wizards
"Mon, Feb 24, 2020",7:30p,Orlando Magic,Brooklyn Nets
"Mon, Feb 24, 2020",8:00p,New York Knicks,Houston Rockets
"Mon, Feb 24, 2020",8:30p,Minnesota Timberwolves,Dallas Mavericks
"Mon, Feb 24, 2020",9:00p,Phoenix Suns,Utah Jazz
"Mon, Feb 24, 2020",10:30p,Memphis Grizzlies,Los Angeles Clippers
"Tue, Feb 25, 2020",7:00p,Charlotte Hornets,Indiana Pacers
"Tue, Feb 25, 2020",7:30p,Milwaukee Bucks,Toronto Raptors
"Tue, Feb 25, 2020",8:00p,Oklahoma City Thunder,Chicago Bulls
"Tue, Feb 25, 2020",9:00p,Detroit Pistons,Denver Nuggets
"Tue, Feb 25, 2020",10:00p,New Orleans Pelicans,Los Angeles Lakers
"Tue, Feb 25, 2020",10:00p,Boston Celtics,Portland Trail Blazers
"Tue, Feb 25, 2020",10:30p,Sacramento Kings,Golden State Warriors
"Wed, Feb 26, 2020",7:00p,New York Knicks,Charlotte Hornets
"Wed, Feb 26, 2020",7:00p,Philadelphia 76ers,Cleveland Cavaliers
"Wed, Feb 26, 2020",7:00p,Brooklyn Nets,Washington Wizards
"Wed, Feb 26, 2020",7:30p,Orlando Magic,Atlanta Hawks
"Wed, Feb 26, 2020",7:30p,Minnesota Timberwolves,Miami Heat
"Wed, Feb 26, 2020",7:30p,Dallas Mavericks,San Antonio Spurs
"Wed, Feb 26, 2020",8:00p,Memphis Grizzlies,Houston Rockets
"Wed, Feb 26, 2020",9:00p,Los Angeles Clippers,Phoenix Suns
"Wed, Feb 26, 2020",10:00p,Boston Celtics,Utah Jazz
"Thu, Feb 27, 2020",7:00p,New York Knicks,Philadelphia 76ers
"Thu, Feb 27, 2020",8:00p,Portland Trail Blazers,Indiana Pacers
"Thu, Feb 27, 2020",8:00p,Sacramento Kings,Oklahoma City Thunder
"Thu, Feb 27, 2020",10:30p,Los Angeles Lakers,Golden State Warriors
"Fri, Feb 28, 2020",7:00p,Minnesota Timberwolves,Orlando Magic
"Fri, Feb 28, 2020",7:30p,Brooklyn Nets,Atlanta Hawks
"Fri, Feb 28, 2020",7:30p,Charlotte Hornets,Toronto Raptors
"Fri, Feb 28, 2020",8:00p,Sacramento Kings,Memphis Grizzlies
"Fri, Feb 28, 2020",8:00p,Dallas Mavericks,Miami Heat
"Fri, Feb 28, 2020",8:00p,Oklahoma City Thunder,Milwaukee Bucks
"Fri, Feb 28, 2020",8:00p,Cleveland Cavaliers,New Orleans Pelicans
"Fri, Feb 28, 2020",9:00p,Detroit Pistons,Phoenix Suns
"Fri, Feb 28, 2020",9:00p,Washington Wizards,Utah Jazz
"Fri, Feb 28, 2020",10:30p,Denver Nuggets,Los Angeles Clippers
"Sat, Feb 29, 2020",5:00p,Chicago Bulls,New York Knicks
"Sat, Feb 29, 2020",7:30p,Portland Trail Blazers,Atlanta Hawks
"Sat, Feb 29, 2020",7:30p,Brooklyn Nets,Miami Heat
"Sat, Feb 29, 2020",8:00p,Indiana Pacers,Cleveland Cavaliers
"Sat, Feb 29, 2020",8:00p,Los Angeles Lakers,Memphis Grizzlies
"Sat, Feb 29, 2020",8:30p,Houston Rockets,Boston Celtics
"Sat, Feb 29, 2020",8:30p,Orlando Magic,San Antonio Spurs
"Sat, Feb 29, 2020",9:00p,Golden State Warriors,Phoenix Suns
"Sun, Mar 1, 2020",1:00p,Milwaukee Bucks,Charlotte Hornets
"Sun, Mar 1, 2020",3:30p,Philadelphia 76ers,Los Angeles Clippers
"Sun, Mar 1, 2020",3:30p,Dallas Mavericks,Minnesota Timberwolves
"Sun, Mar 1, 2020",6:00p,Toronto Raptors,Denver Nuggets
"Sun, Mar 1, 2020",6:00p,Detroit Pistons,Sacramento Kings
"Sun, Mar 1, 2020",8:00p,Los Angeles Lakers,New Orleans Pelicans
"Sun, Mar 1, 2020",8:30p,Washington Wizards,Golden State Warriors
"Mon, Mar 2, 2020",7:00p,Utah Jazz,Cleveland Cavaliers
"Mon, Mar 2, 2020",7:00p,Houston Rockets,New York Knicks
"Mon, Mar 2, 2020",7:00p,Portland Trail Blazers,Orlando Magic
"Mon, Mar 2, 2020",7:30p,Memphis Grizzlies,Atlanta Hawks
"Mon, Mar 2, 2020",7:30p,Milwaukee Bucks,Miami Heat
"Mon, Mar 2, 2020",8:00p,Dallas Mavericks,Chicago Bulls
"Mon, Mar 2, 2020",8:30p,Indiana Pacers,San Antonio Spurs
"Tue, Mar 3, 2020",7:00p,San Antonio Spurs,Charlotte Hornets
"Tue, Mar 3, 2020",7:30p,Brooklyn Nets,Boston Celtics
"Tue, Mar 3, 2020",8:00p,Minnesota Timberwolves,New Orleans Pelicans
"Tue, Mar 3, 2020",8:00p,Los Angeles Clippers,Oklahoma City Thunder
"Tue, Mar 3, 2020",9:00p,Golden State Warriors,Denver Nuggets
"Tue, Mar 3, 2020",9:00p,Toronto Raptors,Phoenix Suns
"Tue, Mar 3, 2020",10:00p,Philadelphia 76ers,Los Angeles Lakers
"Tue, Mar 3, 2020",10:00p,Washington Wizards,Sacramento Kings
"Wed, Mar 4, 2020",7:00p,Boston Celtics,Cleveland Cavaliers
"Wed, Mar 4, 2020",7:00p,Oklahoma City Thunder,Detroit Pistons
"Wed, Mar 4, 2020",7:00p,Orlando Magic,Miami Heat
"Wed, Mar 4, 2020",7:30p,Memphis Grizzlies,Brooklyn Nets
"Wed, Mar 4, 2020",7:30p,Utah Jazz,New York Knicks
"Wed, Mar 4, 2020",8:00p,Chicago Bulls,Minnesota Timberwolves
"Wed, Mar 4, 2020",8:30p,New Orleans Pelicans,Dallas Mavericks
"Wed, Mar 4, 2020",9:30p,Indiana Pacers,Milwaukee Bucks
"Wed, Mar 4, 2020",10:00p,Washington Wizards,Portland Trail Blazers
"Thu, Mar 5, 2020",7:00p,Denver Nuggets,Charlotte Hornets
"Thu, Mar 5, 2020",8:00p,Los Angeles Clippers,Houston Rockets
"Thu, Mar 5, 2020",10:00p,Philadelphia 76ers,Sacramento Kings
"Thu, Mar 5, 2020",10:30p,Toronto Raptors,Golden State Warriors
"Fri, Mar 6, 2020",7:00p,Atlanta Hawks,Washington Wizards
"Fri, Mar 6, 2020",7:30p,San Antonio Spurs,Brooklyn Nets
"Fri, Mar 6, 2020",7:30p,Oklahoma City Thunder,New York Knicks
"Fri, Mar 6, 2020",8:00p,Utah Jazz,Boston Celtics
"Fri, Mar 6, 2020",8:00p,Indiana Pacers,Chicago Bulls
"Fri, Mar 6, 2020",8:00p,Orlando Magic,Minnesota Timberwolves
"Fri, Mar 6, 2020",8:00p,Miami Heat,New Orleans Pelicans
"Fri, Mar 6, 2020",8:30p,Memphis Grizzlies,Dallas Mavericks
"Fri, Mar 6, 2020",9:00p,Portland Trail Blazers,Phoenix Suns
"Fri, Mar 6, 2020",10:30p,Milwaukee Bucks,Los Angeles Lakers
"Sat, Mar 7, 2020",5:00p,Houston Rockets,Charlotte Hornets
"Sat, Mar 7, 2020",7:00p,Utah Jazz,Detroit Pistons
"Sat, Mar 7, 2020",7:30p,Denver Nuggets,Cleveland Cavaliers
"Sat, Mar 7, 2020",8:00p,Atlanta Hawks,Memphis Grizzlies
"Sat, Mar 7, 2020",8:30p,Philadelphia 76ers,Golden State Warriors
"Sat, Mar 7, 2020",10:00p,Sacramento Kings,Portland Trail Blazers
"Sun, Mar 8, 2020",3:00p,Chicago Bulls,Brooklyn Nets
"Sun, Mar 8, 2020",3:30p,Los Angeles Lakers,Los Angeles Clippers
"Sun, Mar 8, 2020",3:30p,New Orleans Pelicans,Minnesota Timberwolves
"Sun, Mar 8, 2020",6:00p,Oklahoma City Thunder,Boston Celtics
"Sun, Mar 8, 2020",6:00p,Milwaukee Bucks,Phoenix Suns
"Sun, Mar 8, 2020",7:00p,Indiana Pacers,Dallas Mavericks
"Sun, Mar 8, 2020",7:00p,Orlando Magic,Houston Rockets
"Sun, Mar 8, 2020",7:00p,Miami Heat,Washington Wizards
"Sun, Mar 8, 2020",7:30p,San Antonio Spurs,Cleveland Cavaliers
"Sun, Mar 8, 2020",7:30p,Detroit Pistons,New York Knicks
"Sun, Mar 8, 2020",9:00p,Toronto Raptors,Sacramento Kings
"Mon, Mar 9, 2020",7:30p,Charlotte Hornets,Atlanta Hawks
"Mon, Mar 9, 2020",9:00p,Milwaukee Bucks,Denver Nuggets
"Mon, Mar 9, 2020",9:00p,Toronto Raptors,Utah Jazz
"Tue, Mar 10, 2020",7:00p,Boston Celtics,Indiana Pacers
"Tue, Mar 10, 2020",7:00p,New York Knicks,Washington Wizards
"Tue, Mar 10, 2020",8:00p,Cleveland Cavaliers,Chicago Bulls
"Tue, Mar 10, 2020",8:00p,Minnesota Timberwolves,Houston Rockets
"Tue, Mar 10, 2020",8:00p,Orlando Magic,Memphis Grizzlies
"Tue, Mar 10, 2020",8:00p,Dallas Mavericks,San Antonio Spurs
"Tue, Mar 10, 2020",10:00p,Phoenix Suns,Portland Trail Blazers
"Tue, Mar 10, 2020",10:30p,Los Angeles Clippers,Golden State Warriors
"Tue, Mar 10, 2020",10:30p,Brooklyn Nets,Los Angeles Lakers
"Wed, Mar 11, 2020",7:30p,New York Knicks,Atlanta Hawks
"Wed, Mar 11, 2020",7:30p,Charlotte Hornets,Miami Heat
"Wed, Mar 11, 2020",7:30p,Detroit Pistons,Philadelphia 76ers
"Wed, Mar 11, 2020",8:00p,Utah Jazz,Oklahoma City Thunder
"Wed, Mar 11, 2020",8:30p,Denver Nuggets,Dallas Mavericks
"Wed, Mar 11, 2020",10:00p,New Orleans Pelicans,Sacramento Kings
"Thu, Mar 12, 2020",7:00p,Chicago Bulls,Orlando Magic
"Thu, Mar 12, 2020",8:00p,Boston Celtics,Milwaukee Bucks
"Thu, Mar 12, 2020",10:00p,Memphis Grizzlies,Portland Trail Blazers
"Thu, Mar 12, 2020",10:30p,Brooklyn Nets,Golden State Warriors
"Thu, Mar 12, 2020",10:30p,Houston Rockets,Los Angeles Lakers
"Fri, Mar 13, 2020",7:00p,Cleveland Cavaliers,Charlotte Hornets
"Fri, Mar 13, 2020",7:30p,Washington Wizards,Boston Celtics
"Fri, Mar 13, 2020",8:00p,New York Knicks,Miami Heat
"Fri, Mar 13, 2020",8:00p,Minnesota Timberwolves,Oklahoma City Thunder
"Fri, Mar 13, 2020",8:30p,Denver Nuggets,San Antonio Spurs
"Fri, Mar 13, 2020",9:00p,New Orleans Pelicans,Utah Jazz
"Fri, Mar 13, 2020",10:30p,Brooklyn Nets,Los Angeles Clippers
"Sat, Mar 14, 2020",2:00p,Phoenix Suns,Dallas Mavericks
"Sat, Mar 14, 2020",7:30p,Cleveland Cavaliers,Atlanta Hawks
"Sat, Mar 14, 2020",7:30p,Indiana Pacers,Philadelphia 76ers
"Sat, Mar 14, 2020",7:30p,Detroit Pistons,Toronto Raptors
"Sat, Mar 14, 2020",8:00p,Chicago Bulls,Miami Heat
"Sat, Mar 14, 2020",8:30p,Golden State Warriors,Milwaukee Bucks
"Sat, Mar 14, 2020",8:30p,Minnesota Timberwolves,San Antonio Spurs
"Sat, Mar 14, 2020",9:00p,Memphis Grizzlies,Utah Jazz
"Sat, Mar 14, 2020",10:30p,New Orleans Pelicans,Los Angeles Clippers
"Sun, Mar 15, 2020",3:30p,Houston Rockets,Portland Trail Blazers
"Sun, Mar 15, 2020",6:00p,Charlotte Hornets,Orlando Magic
"Sun, Mar 15, 2020",6:00p,Oklahoma City Thunder,Washington Wizards
"Sun, Mar 15, 2020",8:00p,Boston Celtics,Chicago Bulls
"Sun, Mar 15, 2020",9:00p,Denver Nuggets,Los Angeles Lakers
"Sun, Mar 15, 2020",9:00p,Brooklyn Nets,Sacramento Kings
"Mon, Mar 16, 2020",7:00p,Washington Wizards,Philadelphia 76ers
"Mon, Mar 16, 2020",8:00p,Miami Heat,Milwaukee Bucks
"Mon, Mar 16, 2020",8:00p,Atlanta Hawks,New Orleans Pelicans
"Mon, Mar 16, 2020",8:00p,Golden State Warriors,Toronto Raptors
"Mon, Mar 16, 2020",8:30p,Memphis Grizzlies,San Antonio Spurs
"Mon, Mar 16, 2020",9:00p,Los Angeles Lakers,Utah Jazz
"Mon, Mar 16, 2020",10:30p,Dallas Mavericks,Los Angeles Clippers
"Tue, Mar 17, 2020",7:00p,Orlando Magic,Detroit Pistons
"Tue, Mar 17, 2020",7:30p,Charlotte Hornets,New York Knicks
"Tue, Mar 17, 2020",8:00p,Cleveland Cavaliers,Houston Rockets
"Tue, Mar 17, 2020",8:00p,Oklahoma City Thunder,Memphis Grizzlies
"Tue, Mar 17, 2020",10:00p,Minnesota Timberwolves,Portland Trail Blazers
"Tue, Mar 17, 2020",10:00p,Dallas Mavericks,Sacramento Kings
"Wed, Mar 18, 2020",7:00p,Toronto Raptors,Philadelphia 76ers
"Wed, Mar 18, 2020",7:30p,Oklahoma City Thunder,Atlanta Hawks
"Wed, Mar 18, 2020",7:30p,New York Knicks,Boston Celtics
"Wed, Mar 18, 2020",7:30p,Washington Wizards,Brooklyn Nets
"Wed, Mar 18, 2020",7:30p,Golden State Warriors,Indiana Pacers
"Wed, Mar 18, 2020",8:00p,Miami Heat,Chicago Bulls
"Wed, Mar 18, 2020",8:00p,San Antonio Spurs,New Orleans Pelicans
"Wed, Mar 18, 2020",9:00p,Los Angeles Clippers,Denver Nuggets
"Wed, Mar 18, 2020",10:00p,Utah Jazz,Los Angeles Lakers
"Wed, Mar 18, 2020",10:00p,Minnesota Timberwolves,Phoenix Suns
"Thu, Mar 19, 2020",7:00p,Philadelphia 76ers,Charlotte Hornets
"Thu, Mar 19, 2020",7:00p,Cleveland Cavaliers,Orlando Magic
"Thu, Mar 19, 2020",8:00p,Sacramento Kings,Houston Rockets
"Thu, Mar 19, 2020",8:00p,Memphis Grizzlies,Milwaukee Bucks
"Thu, Mar 19, 2020",10:00p,Dallas Mavericks,Portland Trail Blazers
"Fri, Mar 20, 2020",7:00p,Golden State Warriors,Detroit Pistons
"Fri, Mar 20, 2020",7:00p,Miami Heat,Indiana Pacers
"Fri, Mar 20, 2020",7:30p,Washington Wizards,Atlanta Hawks
"Fri, Mar 20, 2020",7:30p,Boston Celtics,Toronto Raptors
"Fri, Mar 20, 2020",8:00p,Denver Nuggets,Oklahoma City Thunder
"Fri, Mar 20, 2020",8:30p,Chicago Bulls,San Antonio Spurs
"Fri, Mar 20, 2020",9:00p,Minnesota Timberwolves,Utah Jazz
"Fri, Mar 20, 2020",10:30p,Phoenix Suns,Los Angeles Clippers
"Sat, Mar 21, 2020",6:00p,Boston Celtics,Brooklyn Nets
"Sat, Mar 21, 2020",7:00p,Los Angeles Lakers,Charlotte Hornets
"Sat, Mar 21, 2020",7:00p,Cleveland Cavaliers,Indiana Pacers
"Sat, Mar 21, 2020",7:00p,Sacramento Kings,Orlando Magic
"Sat, Mar 21, 2020",7:00p,Atlanta Hawks,Philadelphia 76ers
"Sat, Mar 21, 2020",7:30p,Golden State Warriors,New York Knicks
"Sat, Mar 21, 2020",8:00p,Chicago Bulls,Houston Rockets
"Sat, Mar 21, 2020",8:00p,New Orleans Pelicans,Memphis Grizzlies
"Sat, Mar 21, 2020",8:00p,Milwaukee Bucks,Washington Wizards
"Sat, Mar 21, 2020",10:00p,Dallas Mavericks,Phoenix Suns
"Sun, Mar 22, 2020",6:00p,Los Angeles Lakers,Detroit Pistons
"Sun, Mar 22, 2020",6:00p,Denver Nuggets,Toronto Raptors
"Sun, Mar 22, 2020",7:00p,Portland Trail Blazers,Minnesota Timberwolves
"Sun, Mar 22, 2020",7:00p,Sacramento Kings,New Orleans Pelicans
"Sun, Mar 22, 2020",7:00p,Utah Jazz,San Antonio Spurs
"Mon, Mar 23, 2020",7:00p,Phoenix Suns,Indiana Pacers
"Mon, Mar 23, 2020",7:00p,Los Angeles Clippers,New York Knicks
"Mon, Mar 23, 2020",7:00p,Boston Celtics,Washington Wizards
"Mon, Mar 23, 2020",7:30p,Orlando Magic,Brooklyn Nets
"Mon, Mar 23, 2020",7:30p,Oklahoma City Thunder,Miami Heat
"Mon, Mar 23, 2020",8:00p,Denver Nuggets,Chicago Bulls
"Mon, Mar 23, 2020",8:00p,Detroit Pistons,Milwaukee Bucks
"Mon, Mar 23, 2020",8:30p,Houston Rockets,Dallas Mavericks
"Tue, Mar 24, 2020",7:00p,Portland Trail Blazers,Charlotte Hornets
"Tue, Mar 24, 2020",7:00p,Sacramento Kings,Cleveland Cavaliers
"Tue, Mar 24, 2020",7:30p,Los Angeles Lakers,Toronto Raptors
"Tue, Mar 24, 2020",8:00p,Philadelphia 76ers,Minnesota Timberwolves
"Tue, Mar 24, 2020",8:00p,Memphis Grizzlies,New Orleans Pelicans
"Tue, Mar 24, 2020",10:00p,San Antonio Spurs,Utah Jazz
"Wed, Mar 25, 2020",7:00p,Los Angeles Clippers,Brooklyn Nets
